$ 2013 pst,,,,,,,,,,,
"# Blowout used as estimate for TDS, Breitenbush for SED, Blowout for all others",,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,Nox,RDOM,RPOM,ALG-BG,ALG-OTH,DO
13.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.53755854
13.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.57499081
13.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.61721027
13.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.61721027
13.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.69296419
13.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.73110316
13.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.77390446
13.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.82158598
13.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.82608467
13.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.82608467
13.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.78305663
13.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.69296419
13.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.64592277
13.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.60815752
13.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.53314495
13.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.54214868
13.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.50487513
13.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.50927678
13.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.51825616
13.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.55997956
13.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.60207531
13.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.60207531
13.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.64419096
14,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.68668216
14.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.72473269
14.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.72919455
14.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.7674327
14.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.81033362
14.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.80584728
14.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.85361655
