$2013 B,reitenbu,"sh, pst",,no continuous usgs wq data 2013,,,,,,,
#,,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,NOx,RDOM,RPOM,ALG-BG,ALG-OTH,DO
11.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.77937101
11.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.74545831
11.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.78372305
11.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.78372305
11.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.88641517
12,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.95989159
12.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.95989159
12.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.06940472
12.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.06940472
12.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.1003015
12.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.1315071
12.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.1402713
12.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.17594646
12.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.21610317
12.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.25644629
12.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.25644629
12.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.25211564
12.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.24778499
12.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.23895045
12.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.20297307
12.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.20297307
12.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.16715892
12.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.17594646
12.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.17594646
12.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.18456169
12.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.18456169
12.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.22491413
12.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.15762783
12.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.23372509
13,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.34675216
13.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.3876853
13.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.4613468
13.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.503008
13.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.54027466
13.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.61532235
13.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.65310529
13.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.69552348
13.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.74279345
13.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.7856243
13.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.7856243
13.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.78113857
13.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.76750193
13.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.72006823
13.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.64402911
13.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.64402911
13.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.57771246
13.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.54027466
13.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.50740905
13.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.51638718
13.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.4836438
13.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.48820853
13.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.48820853
13.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.52976633
14,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.53434341
14.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.571695
14.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.57610796
14.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.61364308
14.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.65578773
14.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.68923192
14.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.73638846
14.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.74084969
