Date,Site ID (new),Chl RFU,Chl ug/L
2014-07-01,LB,0.11,0.52
2014-07-01,LB,0.05,0.26
2014-07-01,LB,0.06,0.3
2014-07-01,LB,0.07,0.33
2014-07-01,HT,0.04,0.21
2014-07-01,HT,0.03,0.19
2014-07-01,HT,0.01,0.11
2014-07-01,BO,0.14,0.63
2014-07-01,BO,0.13,0.59
2014-07-01,BO,0.15,0.65
2014-07-01,BB,0.12,0.53
2014-07-01,BB,0.1,0.47
2014-07-01,BB,0.13,0.58
2014-07-01,BB,0.01,0.08
2014-07-08,LB,0.05,0.18
2014-07-08,LB,0.02,0.07
2014-07-08,LB,0.04,0.14
2014-07-08,LB,0.1,0.37
2014-07-08,HT,0.04,0.12
2014-07-08,HT,0.03,0.11
2014-07-08,HT,0.02,0.06
2014-07-08,HT,0.08,0.29
2014-07-15,LB,0.02,0.04
2014-07-15,LB,0.05,0.17
2014-07-15,LB,0.06,0.2
2014-07-15,LB,0.12,0.46
2014-07-15,HT,0.04,0.13
2014-07-15,HT,0.11,0.41
2014-07-15,HT,0.1,0.36
2014-07-22,LB,0.11,0.53
2014-07-22,LB,0.17,0.75
2014-07-22,LB,0.16,0.74
2014-07-22,LB,0.11,0.51
2014-07-22,HT,0.24,1.06
2014-07-22,HT,0.24,1.02
2014-07-22,HT,0.29,1.25
2014-07-22,HT,0.23,1.02
2014-07-29,LB,0.05,0.18
2014-07-29,LB,0.06,0.22
2014-07-29,LB,0.06,0.24
2014-07-29,HT,0.13,0.52
2014-07-29,HT,0.13,0.52
2014-07-29,HT,0.11,0.43
2014-07-29,HT,0.19,0.76
2014-07-29,HT,0.17,0.68
2014-07-29,HT,0.16,0.62
2014-08-04,LB,0.08,0.31
2014-08-04,LB,0.06,0.22
2014-08-04,LB,0.1,0.38
2014-08-04,HT,0.17,0.68
2014-08-04,HT,0.14,0.55
2014-08-04,HT,0.16,0.63
2014-08-04,HT,0.3,1.21
2014-08-12,LB,0.22,0.89
2014-08-12,LB,0.17,0.67
2014-08-12,LB,0.23,0.9
2014-08-12,HT,0.35,1.39
2014-08-12,HT,0.26,1.05
2014-08-12,HT,0.26,1.04
2014-08-12,HT,0.25,1.01
2014-08-19,LB,0.16,0.63
2014-08-19,LB,0.06,0.22
2014-08-19,LB,0.09,0.37
2014-08-19,HT,0.1,0.39
2014-08-19,HT,0.13,0.53
2014-08-19,HT,0.18,0.71
2014-08-27,LB,0.04,0.17
2014-08-27,LB,0.11,0.45
2014-08-27,LB,0.07,0.27
2014-08-27,HT,0.1,0.4
2014-08-27,HT,0.1,0.4
2014-08-27,HT,0.15,0.61
2014-08-27,HT,0.16,0.63
2014-08-27,HT,0.29,1.16
2014-08-27,HT,0.24,0.95
2014-09-02,LB,0.07,0.29
2014-09-02,LB,0.1,0.44
2014-09-02,LB,0.05,0.21
