system:index,chl,date,sensor,.geo
2012_09_25_0,75.95162365625228,2012-09-25,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_26_0,170.4579758995369,2012-09-26,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_27_0,59.88773765106845,2012-09-27,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_30_0,126.86324637495863,2012-09-30,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_01_0,109.16373040133253,2012-10-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_02_0,87.85034060078344,2012-10-02,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_03_0,77.09105170421566,2012-10-03,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_04_0,62.41611771587153,2012-10-04,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_05_0,117.2091662301003,2012-10-05,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_06_0,74.26375934114223,2012-10-06,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_07_0,92.9574057904598,2012-10-07,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_08_0,61.64753768911727,2012-10-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_09_0,83.7411999718785,2012-10-09,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_10_0,116.30628741918402,2012-10-10,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_11_0,54.437331461202476,2012-10-11,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_17_0,138.40217159879904,2012-10-17,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_18_0,54.453384676875416,2012-10-18,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_11_05_0,37.70506951219287,2012-11-05,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_11_06_0,55.87929000176558,2012-11-06,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_11_08_0,52.291294406033906,2012-11-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
