system:index,date,.geo
LC08_045031_20150312,2015-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150328,2015-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150413,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150429,2015-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150531,2015-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150616,2015-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150702,2015-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150718,2015-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150803,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150819,2015-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150904,2015-09-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20150920,2015-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20151006,2015-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20151022,2015-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20151107,2015-11-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20151123,2015-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20151209,2015-12-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20151225,2015-12-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20160110,2016-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20160126,2016-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20160211,2016-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20160227,2016-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20160314,2016-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20160330,2016-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20160415,2016-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20160501,2016-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
