system:index,chl,date,sensor,.geo
2012_05_12_0,88.66168429579906,2012-05-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_13_0,115.9315256220396,2012-05-13,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_17_0,69.61754473542764,2012-05-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_18_0,54.0077915424874,2012-05-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_05_0,37.65891284575783,2012-06-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_06_0,54.00102007989708,2012-06-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_10_0,96.34975177961937,2012-06-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_14_0,87.57625711325242,2012-06-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_15_0,66.17827231768437,2012-06-15,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_16_0,111.58133200807205,2012-06-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_27_0,106.13119383229055,2012-06-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_02_0,111.8839925779643,2012-07-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_04_0,72.67676732517852,2012-07-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_05_0,90.38339480752903,2012-07-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_07_0,97.44862960331601,2012-07-07,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_08_0,44.52425421414332,2012-07-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_09_0,83.09206888554206,2012-07-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_10_0,63.463574686420145,2012-07-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_11_0,93.61693533245655,2012-07-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_13_0,57.98203799667531,2012-07-13,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_19_0,105.02017031090489,2012-07-19,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_21_0,123.10615482916027,2012-07-21,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_23_0,120.06209970548392,2012-07-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_24_0,41.99813387303584,2012-07-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_25_0,114.07743047991931,2012-07-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_26_0,109.40101624715997,2012-07-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_27_0,100.22599567157727,2012-07-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_28_0,111.02316640498086,2012-07-28,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_29_0,69.08044720576486,2012-07-29,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_30_0,115.47210909681547,2012-07-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_31_0,47.13655303200015,2012-07-31,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_01_0,135.24085577063207,2012-08-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_02_0,69.70295578175818,2012-08-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_03_0,167.50653688673881,2012-08-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_04_0,140.45988550086565,2012-08-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_05_0,95.14461950889557,2012-08-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_06_0,115.27913323076751,2012-08-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_07_0,59.305030865450966,2012-08-07,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_08_0,122.87739555300585,2012-08-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_09_0,86.03057005638631,2012-08-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_10_0,99.74768861934996,2012-08-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_11_0,128.28856396202823,2012-08-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_12_0,90.21341129273428,2012-08-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_13_0,105.12924338552111,2012-08-13,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_14_0,86.54885011743659,2012-08-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_15_0,98.91453944980482,2012-08-15,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_16_0,64.27798518993538,2012-08-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_19_0,120.1850340079729,2012-08-19,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_21_0,143.96289391122673,2012-08-21,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_22_0,123.39005960107934,2012-08-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_23_0,90.07579133827086,2012-08-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_25_0,63.856922641706284,2012-08-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_26_0,114.44523741104095,2012-08-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_27_0,92.2129051214287,2012-08-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_29_0,138.54788966618923,2012-08-29,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_30_0,113.53504821606505,2012-08-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
